"Type","Flight.Type","Day","AverageDelay","TotalFlight"
"Arrival","Domestic","2015-09-12",1.71,1577
"Arrival","Domestic","2015-09-13",0.23,1671
"Arrival","Domestic","2015-09-14",-0.12,2079
"Arrival","Domestic","2015-09-15",-0.5,1910
"Arrival","Domestic","2015-09-16",1.53,1933
"Arrival","Domestic","2015-09-17",-0.17,1987
"Arrival","Domestic","2015-09-18",2.1,2098
"Arrival","Domestic","2015-09-19",0.7,1558
"Arrival","Domestic","2015-09-20",-0.49,1739
"Arrival","Domestic","2015-09-21",-1.37,2080
"Arrival","Domestic","2015-09-22",2.9,1896
"Arrival","Domestic","2015-09-23",4.46,1919
"Arrival","Domestic","2015-09-24",1.64,1990
"Arrival","Domestic","2015-09-25",7.3,2031
"Arrival","Domestic","2015-09-26",1.72,1543
"Arrival","Domestic","2015-09-27",2.49,1627
"Arrival","Domestic","2015-09-28",4.19,2095
"Arrival","Domestic","2015-09-29",1.67,1938
"Arrival","Domestic","2015-09-30",1.53,1940
"Arrival","Domestic","2015-10-01",-1.23,2018
"Arrival","Domestic","2015-10-02",1.99,2078
"Arrival","Domestic","2015-10-03",0.42,1569
"Arrival","Domestic","2015-10-04",-0.89,1655
"Arrival","Domestic","2015-10-05",2.8,2084
"Arrival","Domestic","2015-10-06",-1,1981
"Arrival","Domestic","2015-10-07",1.77,1947
"Arrival","Domestic","2015-10-08",3.15,2041
"Arrival","Domestic","2015-10-09",6.41,2073
"Arrival","Domestic","2015-10-10",2.3,1444
"Arrival","Domestic","2015-10-11",-1.16,1194
"Arrival","Domestic","2015-10-12",-0.5,1896
"Arrival","Domestic","2015-10-13",0.06,2017
"Arrival","Domestic","2015-10-14",-0.98,1998
"Arrival","Domestic","2015-10-15",1.18,2009
"Arrival","Domestic","2015-10-16",1.17,2103
"Arrival","Domestic","2015-10-17",0.55,1560
"Arrival","Domestic","2015-10-18",1.29,1645
"Arrival","Domestic","2015-10-19",-0.17,2114
"Arrival","Domestic","2015-10-20",1.61,1924
"Arrival","Domestic","2015-10-21",1.53,1987
"Arrival","Domestic","2015-10-22",6.73,1962
"Arrival","Domestic","2015-10-23",4.33,2070
"Arrival","Domestic","2015-10-24",-0.7,1558
"Arrival","Domestic","2015-10-25",-2.02,1658
"Arrival","Domestic","2015-10-26",2.07,2067
"Arrival","Domestic","2015-10-27",-0.09,1947
"Arrival","Domestic","2015-10-28",-1.24,1951
"Arrival","Domestic","2015-10-29",1.07,2040
"Arrival","Domestic","2015-10-30",1.67,2123
"Arrival","Domestic","2015-10-31",0.23,1409
"Arrival","Domestic","2015-11-01",-1.83,1229
"Arrival","Domestic","2015-11-02",0.25,1954
"Arrival","Domestic","2015-11-03",2.03,2041
"Arrival","Domestic","2015-11-04",2.8,2002
"Arrival","Domestic","2015-11-05",2.11,2024
"Arrival","Domestic","2015-11-06",2.23,2102
"Arrival","Domestic","2015-11-07",1.43,1589
"Arrival","Domestic","2015-11-08",-0.13,1674
"Arrival","Domestic","2015-11-09",1.25,2099
"Arrival","Domestic","2015-11-10",2.01,1965
"Arrival","Domestic","2015-11-11",-0.14,1995
"Arrival","Domestic","2015-11-12",0.78,2027
"Arrival","Domestic","2015-11-13",5.85,2047
"Arrival","Domestic","2015-11-14",5.23,1561
"Arrival","Domestic","2015-11-15",0.98,1674
"Arrival","Domestic","2015-11-16",1.46,2088
"Arrival","Domestic","2015-11-17",2.29,1938
"Arrival","Domestic","2015-11-18",2.7,1966
"Arrival","Domestic","2015-11-19",6.58,2038
"Arrival","Domestic","2015-11-20",15.34,1805
"Arrival","Domestic","2015-11-21",4.11,1466
"Arrival","Domestic","2015-11-22",0.1,1596
"Arrival","Domestic","2015-11-23",9.52,2043
"Arrival","Domestic","2015-11-24",5.21,1968
"Arrival","Domestic","2015-11-25",1.68,1967
"Arrival","Domestic","2015-11-26",2.04,2016
"Arrival","Domestic","2015-11-27",1.31,2135
"Arrival","Domestic","2015-11-28",2.11,1599
"Arrival","Domestic","2015-11-29",4.02,1668
"Arrival","Domestic","2015-11-30",10.87,2051
"Arrival","Domestic","2015-12-01",3.66,2011
"Arrival","Domestic","2015-12-02",1.37,1941
"Arrival","Domestic","2015-12-03",6.85,1961
"Arrival","Domestic","2015-12-04",7.05,2087
"Arrival","Domestic","2015-12-05",6.99,1625
"Arrival","Domestic","2015-12-06",2.23,1673
"Arrival","Domestic","2015-12-07",3.49,2110
"Arrival","Domestic","2015-12-08",-0.16,2077
"Arrival","Domestic","2015-12-09",0.96,2036
"Arrival","Domestic","2015-12-10",8.48,2022
"Arrival","Domestic","2015-12-11",5.18,2140
"Arrival","Domestic","2015-12-12",5.03,1650
"Arrival","Domestic","2015-12-13",6.19,1687
"Arrival","Domestic","2015-12-14",8.79,2122
"Arrival","Domestic","2015-12-15",6.36,2039
"Arrival","Domestic","2015-12-16",2.12,2190
"Arrival","Domestic","2015-12-17",1.15,2209
"Arrival","Domestic","2015-12-18",2.56,2185
"Arrival","Domestic","2015-12-19",3.42,1779
"Arrival","Domestic","2015-12-20",3.94,1805
"Arrival","Domestic","2015-12-21",1.51,2092
"Arrival","Domestic","2015-12-22",2.79,2074
"Arrival","Domestic","2015-12-23",2.24,1958
"Arrival","Domestic","2015-12-24",4.19,1685
"Arrival","Domestic","2015-12-25",3.08,1549
"Arrival","Domestic","2015-12-26",2.54,1579
"Arrival","Domestic","2015-12-27",2.66,1689
"Arrival","Domestic","2015-12-28",2.32,2050
"Arrival","Domestic","2015-12-29",0.36,1963
"Arrival","Domestic","2015-12-30",3.1,1927
"Arrival","Domestic","2015-12-31",-0.38,1660
"Arrival","Domestic","2016-01-01",-0.4,1533
"Arrival","Domestic","2016-01-02",0.12,1581
"Arrival","Domestic","2016-01-03",1.68,1709
"Arrival","Domestic","2016-01-04",1.08,2040
"Arrival","Domestic","2016-01-05",0.24,1975
"Arrival","Domestic","2016-01-06",1.05,1959
"Arrival","Domestic","2016-01-07",1.02,1962
"Arrival","Domestic","2016-01-08",0.88,2035
"Arrival","Domestic","2016-01-09",2.25,1647
"Arrival","Domestic","2016-01-10",3.02,1680
"Arrival","Domestic","2016-01-11",3.52,2019
"Arrival","Domestic","2016-01-12",13.63,1877
"Arrival","Domestic","2016-01-13",15.58,1861
"Arrival","Domestic","2016-01-14",7.99,1939
"Arrival","Domestic","2016-01-15",12.98,1895
"Arrival","Domestic","2016-01-16",16.48,1475
"Arrival","Domestic","2016-01-17",9.09,1667
"Arrival","Domestic","2016-01-18",4.31,2046
"Arrival","Domestic","2016-01-19",4.16,1931
"Arrival","Domestic","2016-01-20",3.82,1851
"Arrival","Domestic","2016-01-21",4.24,1977
"Arrival","Domestic","2016-01-22",3.73,2032
"Arrival","Domestic","2016-01-23",1.7,1626
"Arrival","Domestic","2016-01-24",1.54,1689
"Arrival","Domestic","2016-01-25",1.25,1988
"Arrival","Domestic","2016-01-26",1.57,1943
"Arrival","Domestic","2016-01-27",4.54,1896
"Arrival","Domestic","2016-01-28",2.71,1929
"Arrival","Domestic","2016-01-29",3.41,2001
"Arrival","Domestic","2016-01-30",3.22,1638
"Arrival","Domestic","2016-01-31",0.92,1711
"Arrival","Domestic","2016-02-01",0.36,2037
"Arrival","Domestic","2016-02-02",2.87,1961
"Arrival","Domestic","2016-02-03",21.89,1837
"Arrival","Domestic","2016-02-04",2.86,2033
"Arrival","Domestic","2016-02-05",6.5,2025
"Arrival","Domestic","2016-02-06",7.73,1492
"Arrival","Domestic","2016-02-07",-0.82,1155
"Arrival","Domestic","2016-02-08",-3.76,1179
"Arrival","Domestic","2016-02-09",-2.86,1459
"Arrival","Domestic","2016-02-10",0.29,1857
"Arrival","Domestic","2016-02-11",-1.35,1790
"Arrival","Domestic","2016-02-12",-1.68,1850
"Arrival","Domestic","2016-02-13",-1.96,1532
"Arrival","Domestic","2016-02-14",-0.22,1665
"Arrival","Domestic","2016-02-15",5.58,2002
"Arrival","Domestic","2016-02-16",2.03,1968
"Arrival","Domestic","2016-02-17",2.58,1946
"Arrival","Domestic","2016-02-18",1.65,1981
"Arrival","Domestic","2016-02-19",7.68,1992
"Arrival","Domestic","2016-02-20",0.92,1556
"Arrival","Domestic","2016-02-21",1.93,1609
"Arrival","Domestic","2016-02-22",-0.34,1959
"Arrival","Domestic","2016-02-23",-1.13,1826
"Arrival","Domestic","2016-02-24",-0.1,1833
"Arrival","Domestic","2016-02-25",-0.42,1870
"Arrival","Domestic","2016-02-26",1.68,1902
"Arrival","Domestic","2016-02-27",-1.69,1443
"Arrival","Domestic","2016-02-28",0.67,1540
"Arrival","Domestic","2016-02-29",1.38,1898
"Arrival","Domestic","2016-03-01",-1.42,1760
"Arrival","Domestic","2016-03-02",0.05,1793
"Arrival","Domestic","2016-03-03",3.14,1778
"Arrival","Domestic","2016-03-04",2.14,1885
"Arrival","Domestic","2016-03-05",-1.97,1418
"Arrival","Domestic","2016-03-06",-0.84,1526
"Arrival","Domestic","2016-03-07",2.01,1858
"Arrival","Domestic","2016-03-08",-0.34,1749
"Arrival","Domestic","2016-03-09",1.34,1755
"Arrival","Domestic","2016-03-10",3.8,1762
"Arrival","Domestic","2016-03-11",17.13,1824
"Arrival","Domestic","2016-03-12",-0.29,1059
"Arrival","Domestic","2016-03-13",-3.11,872
"Arrival","Domestic","2016-03-14",-1.34,1175
"Arrival","Domestic","2016-03-15",-0.7,2325
"Arrival","Domestic","2016-03-16",-0.72,1901
"Arrival","Domestic","2016-03-17",-0.56,1850
"Arrival","Domestic","2016-03-18",-0.41,1892
"Arrival","Domestic","2016-03-19",-0.58,1436
"Arrival","Domestic","2016-03-20",-3.51,434
"Arrival","Domestic","2016-03-21",-0.87,1817
"Arrival","Domestic","2016-03-22",-1.44,1776
"Arrival","Domestic","2016-03-23",0.19,1793
"Arrival","Domestic","2016-03-24",-0.06,1203
"Arrival","Domestic","2016-03-25",-0.54,1357
"Arrival","Domestic","2016-03-26",-2.94,1288
"Arrival","Domestic","2016-03-27",-1.42,1500
"Arrival","Domestic","2016-03-28",-1.58,1862
"Arrival","Domestic","2016-03-29",-0.39,1754
"Arrival","Domestic","2016-03-30",-1.9,1731
"Arrival","Domestic","2016-03-31",-0.12,1784
"Arrival","Domestic","2016-04-01",-0.66,1882
"Arrival","Domestic","2016-04-02",-0.2,1367
"Arrival","Domestic","2016-04-03",-2.45,1469
"Arrival","Domestic","2016-04-04",-1.49,1836
"Arrival","Domestic","2016-04-05",-2.17,1734
"Arrival","Domestic","2016-04-06",-2.29,1736
"Arrival","Domestic","2016-04-07",-2.02,1765
"Arrival","Domestic","2016-04-08",-0.12,1858
"Arrival","Domestic","2016-04-09",-0.93,1381
"Arrival","Domestic","2016-04-10",-1.93,1466
"Arrival","Domestic","2016-04-11",-1.14,1818
"Arrival","Domestic","2016-04-12",0.07,1708
"Arrival","Domestic","2016-04-13",-1.34,1719
"Arrival","Domestic","2016-04-14",-0.91,1776
